category,href,num_jobs,date
Journalisten und Redakteure,/projekte/Design-Kunst-Medien-Projekte/Journalisten-Und-Redakteure-Projekte,8,2025-03-18
Kunst,/projekte/Design-Kunst-Medien-Projekte/Kunst-Projekte,2,2025-03-18
Medien,/projekte/Design-Kunst-Medien-Projekte/Medien-Projekte,2,2025-03-18
Regisseure und Produzenten,/projekte/Design-Kunst-Medien-Projekte/Regisseure-Und-Produzenten-Projekte,2,2025-03-18
Weniger,,0,2025-03-18
Produktion,/projekte/Andere-Projekte,139,2025-03-18
Medizinische Assistenten,/projekte/Andere-Projekte/Medizinische-Assistenten-Projekte,39,2025-03-18
Sonstige Berufe,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,18,2025-03-18
Krankenpfleger,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,9,2025-03-18
Pflegemanager,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,9,2025-03-18
Laborant,/projekte/Andere-Projekte/Laborant-Projekte,8,2025-03-18
Medizinische Spezialisten und Chirurgen,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,6,2025-03-18
Gesundheitswesen,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,6,2025-03-18
Forscher und Analytiker,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,5,2025-03-18
Spezialisierte Krankenpfleger,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,5,2025-03-18
Psychologen und pädagogische Berater,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,3,2025-03-18
Apotheker und Pharmazeuten,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,3,2025-03-18
Helfer,/projekte/Andere-Projekte/Helfer-Projekte,2,2025-03-18
Ärzte,/projekte/Andere-Projekte/%C3%84rzte-Projekte,1,2025-03-18
Techniker und medizinische Gerätehersteller,/projekte/Andere-Projekte/Sonstige-Berufe-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Verkauf und Handel,/projekte/Verkauf-Und-Handel-Projekte,127,2025-03-18
Immobilienmakler,/projekte/Verkauf-Und-Handel-Projekte/Immobilienmakler-Projekte,54,2025-03-18
Account Manager Unternehmensdienstleistungen,/projekte/Verkauf-Und-Handel-Projekte/Account-Manager-Unternehmensdienstleistungen-Projekte,37,2025-03-18
Verkäufer,/projekte/Verkauf-Und-Handel-Projekte/Verk%C3%A4ufer-Projekte,19,2025-03-18
Vertriebsleiter / Sales Manager,/projekte/Verkauf-Und-Handel-Projekte/Vertriebsleiter-/-Sales-Manager-Projekte,9,2025-03-18
Vertreter Öffentlichkeitsarbeit und Werbung,/projekte/Verkauf-Und-Handel-Projekte/Vertreter-%C3%96ffentlichkeitsarbeit-Und-Werbung-Projekte,5,2025-03-18
Vertreter Artikel und Produkte,/projekte/Verkauf-Und-Handel-Projekte/Vertreter-Artikel-Und-Produkte-Projekte,4,2025-03-18
