category,href,num_freelancers,date
Mitarbeiter Bankfiliale,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Mitarbeiter-Bankfiliale-Freelancer,9,2025-03-18
Versicherungen und Finanzen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Versicherungen-Und-Finanzen-sonstige-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Bildungswesen und Training,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer,8611,2025-03-18
Wissenschaft,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Wissenschaft-Freelancer,5200,2025-03-18
Forschung / Entwicklung,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Forschung-Entwicklung-Freelancer,1634,2025-03-18
Bildung,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Bildung-Freelancer,1474,2025-03-18
Medizinische Wissenschaft,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Medizinische-Wissenschaft-Freelancer,1228,2025-03-18
Bildungswesen und Training,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Bildungswesen-Und-Training-sonstige-Freelancer,61,2025-03-18
Mitarbeiter Bildungswesen/Bildungsunterstützung,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Mitarbeiter-Bildungswesen-bildungsunterst%C3%BCtzung-Freelancer,19,2025-03-18
Lehrer Sekundarstufe I,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Lehrer-Sekundarstufe-I-Freelancer,18,2025-03-18
Wissenschaftler,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Wissenschaftler-Freelancer,17,2025-03-18
Universitätsdozenten Mathematik und Naturwissenschaften,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Universit%C3%A4tsdozenten-Mathematik-Und-Naturwissenschaften-Freelancer,15,2025-03-18
Dekane und Koordinatoren,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Dekane-Und-Koordinatoren-Freelancer,11,2025-03-18
Grundschullehrer,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Grundschullehrer-Freelancer,10,2025-03-18
Universitätsdozenten,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Universit%C3%A4tsdozenten-sonstige-Freelancer,8,2025-03-18
Hochschullehrer Kunst und Medien,/Freelancer/K/Forschung-Wissenschaft-Bildung-Freelancer/Hochschullehrer-Kunst-Und-Medien-Freelancer,6,2025-03-18
